date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:39	14/14	---MC-	308	error ('Permanent%20Redirect')	text/plain	date:Thu,%2021%20Mar%202024%2015:22:38%20GMT	http://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati.0.delayed	(from )
18:22:39	159530/159530	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202024%2015:22:38%20GMT	https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati.html	(from )
18:22:40	132/132	---MCZ	200	added ('OK')	text/plain	etag:W/%22ff8673f5d86eca24cd0cc1dc20f4ca3b%22	https://iftaranekadarkaldi.com/robots.txt		(from )
18:22:40	19046/19046	---M--	200	added ('OK')	image/png	etag:%222606d3dcc924ac21ebb835ea58b24bfc%22	https://iftaranekadarkaldi.com/homepage_logo.png	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/homepage_logo.png	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:40	6673/6673	---M--	200	added ('OK')	image/png	etag:%22f6f31f13af9c0bf37b806285bb3fe1fe%22	https://iftaranekadarkaldi.com/favicon/apple-touch-icon.png	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/favicon/apple-touch-icon.png	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:40	1767/1767	---M--	200	added ('OK')	image/png	etag:%22eacd3ec1cbc3524c7d36d5f473c4b908%22	https://iftaranekadarkaldi.com/favicon/favicon-32x32.png	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/favicon/favicon-32x32.png	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:40	1033/1033	---M--	200	added ('OK')	image/png	etag:%22dac2e35747f7f93806cdd8820422f8f2%22	https://iftaranekadarkaldi.com/favicon/favicon-16x16.png	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/favicon/favicon-16x16.png	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:41	24019/24019	---MCZ	200	added ('OK')	text/css	etag:W/%221041e9dc5bc46b306aa8decc0aa09787%22	https://iftaranekadarkaldi.com/_next/static/css/a7e99b02ad9041be.css	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/css/a7e99b02ad9041be.css	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:41	3535/3535	---MCZ	200	added ('OK')	text/css	etag:W/%222a03fd526000e93b716385c9d25d5ede%22	https://iftaranekadarkaldi.com/_next/static/css/7f47b9549bf34fb2.css	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/css/7f47b9549bf34fb2.css	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:41	91458/91458	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://iftaranekadarkaldi.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:41	4016/4016	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295632fd029d21604e318f9996c2a5281%22	https://iftaranekadarkaldi.com/_next/static/chunks/webpack-8c1b12d71c65e5ab.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/webpack-8c1b12d71c65e5ab.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:41	140108/140108	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c0d21cf3be111341cb36153ec9177e9a%22	https://iftaranekadarkaldi.com/_next/static/chunks/framework-73b8966a3c579ab0.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/framework-73b8966a3c579ab0.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:42	92913/92913	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d9d1718bacca67c212aca0201f5205%22	https://iftaranekadarkaldi.com/_next/static/chunks/main-3f386fe9309fb93f.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/main-3f386fe9309fb93f.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:42	683275/683275	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226a00a822abe78cffda813bca2428b72%22	https://iftaranekadarkaldi.com/_next/static/chunks/pages/_app-46247842fef4ef5e.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/pages/_app-46247842fef4ef5e.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:42	14636/14636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274457940aa6bbb843349e52573d5e708%22	https://iftaranekadarkaldi.com/_next/static/chunks/962-429a97af0212c5b0.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/962-429a97af0212c5b0.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
18:22:42	82722/82722	---MCZ	200	added ('OK')	application/javascript	etag:W/%2200e5bdd4e5400beda0d9ec9455a6af4e%22	https://iftaranekadarkaldi.com/_next/static/chunks/421-077c21653574e41b.js	C:/Benim%20Web%20Sitem/wert/iftaranekadarkaldi.com/_next/static/chunks/421-077c21653574e41b.js	(from https://iftaranekadarkaldi.com/sehir/4976/denizli-iftar-saati)
